Geno,Rep,LN,RL,SL,LA,SDW,RDW,LDW,TDW
1,1,5,19,10,42.63,0.02,0.031,0.126,0.177
1,2,7,21,9,45.34,0.062,0.111,0.303,0.476
1,3,6,14.5,10,45.48,0.03,0.031,0.0125,0.0735
1,4,7,16,8,70.81,0.032,0.085,0.184,0.301
2,1,6,17.5,11,35.58,0.028,0.027,0.102,0.157
2,2,5,15,10,49.6,0.047,0.056,0.154,0.257
2,3,6,15,8,46.69,0.021,0.034,0.109,0.164
2,4,5,12,7,54.55,0.025,0.035,0.128,0.188
3,1,4,15,8,26.4,0.014,0.012,0.062,0.088
3,2,6,14,11,43.96,0.024,0.061,0.122,0.207
3,3,6,13,9,112.63,0.045,0.074,0.152,0.271
3,4,9,13,10,44.06,0.058,0.05,0.1,0.208
4,1,10,15,9,78.92,0.037,0.063,0.105,0.205
4,2,6,14,6,40.04,0.018,0.019,0.088,0.125
4,3,5,9,7,30.12,0.013,0.01,0.056,0.079
4,4,6,18,7,71.92,0.028,0.071,0.189,0.288
5,1,6,17,9,47.45,0.031,0.05,0.109,0.19
5,2,6,13,8,60.32,0.061,0.06,0.187,0.308
5,3,4,7,18,25.38,0.014,0.055,0.018,0.087
5,4,5,12,6,34.92,0.011,0.039,0.122,0.172
6,1,5,14,6,80.88,0.04,0.041,0.143,0.224
6,2,7,14,8,111.76,0.06,0.08,0.261,0.401
6,3,5,13,7,51.16,0.028,0.05,0.028,0.106
6,4,3,14,10,37.5,0.026,0.014,0.077,0.117
7,1,8,18,13,143.05,0.061,0.072,0.32,0.453
7,2,6,17,13,105.35,0.047,0.046,0.204,0.297
7,3,7,15,14,89.33,0.078,0.065,0.201,0.344
7,4,7,12,11,61.83,0.033,0.036,0.109,0.178
8,1,6,20,13,64.34,0.039,0.03,0.137,0.206
8,2,5,13,7,82.48,0.028,0.059,0.161,0.248
8,3,7,23,10,70.8,0.0109,0.158,0.331,0.4999
8,4,7,13,15,80.83,0.6,0.066,0.163,0.829
9,1,5,18,7,48.81,0.032,0.012,0.112,0.156
9,2,5,14,10,30.42,0.016,0.013,0.064,0.093
9,3,4,15,9,52.09,0.018,0.033,0.079,0.13
9,4,4,12,9,24.15,0.011,0.018,0.051,0.08
10,1,6,19,8,81.35,0.098,0.052,0.144,0.294
10,2,6,19,14,11.09,0.099,0.063,0.214,0.376
10,3,5,21,17,102.2,0.055,0.056,0.221,0.332
10,4,4,18,11,54.35,0.024,0.035,0.116,0.175
11,1,5,16,13,114.98,0.071,0.097,0.259,0.427
11,2,5,11,6,44.72,0.031,0.034,0.101,0.166
11,3,4,11,6,42.39,0.015,0.032,0.099,0.146
11,4,5,10,6,19.44,0.011,0.007,0.045,0.063
12,1,6,11,12,46.12,0.039,0.018,0.112,0.169
12,2,8,20,12,62.61,0.042,0.032,0.121,0.195
12,3,6,14,12,46.23,0.044,0.024,0.121,0.189
12,4,5,10,12,37.87,0.031,0.016,0.077,0.124
13,1,8,17,11,171.44,0.13,0.117,0.33,0.577
13,2,8,14,10,92.45,0.064,0.075,0.236,0.375
13,3,7,14,8,35.72,0.019,0.035,0.094,0.148
13,4,7,11,8,39.11,0.041,0.017,0.098,0.156
14,1,5,14,9,29.54,0.016,0.025,0.081,0.122
14,2,6,14,15,78,0.059,0.08,0.222,0.361
14,3,7,12,9,26.33,0.016,0.032,0.076,0.124
14,4,5,21.32,10,0.01,0.12,0.06,0.011,0.191
15,1,8,14,8,45.47,0.032,0.042,0.102,0.176
15,2,7,10,14,27.62,0.024,0.022,0.079,0.125
15,3,7,14.5,6,67.45,0.036,0.077,0.199,0.312
15,4,4,13,7,24.99,0.017,0.022,0.072,0.111
16,1,5,12,9,24.36,0.015,0.019,0.062,0.096
16,2,6,10,13,23.4,0.031,0.026,0.074,0.131
16,3,8,13,12,29.49,0.019,0.038,0.019,0.076
16,4,6,10,7,31.35,0.016,0.032,0.09,0.138
17,1,5,13,8,14.2,0.017,0.016,0.41,0.443
17,2,4,9,11,12.9,0.023,0.013,0.033,0.069
17,3,5,11,9,7.68,0.009,0.006,0.025,0.04
17,4,3,5,7,0.36,0.008,0.003,0.009,0.02
18,1,9,11,14,53.24,0.037,0.08,0.161,0.278
18,2,8,12,10,42.44,0.052,0.052,0.135,0.239
18,3,8,12,10,67.85,0.053,0.042,0.22,0.315
18,4,6,10,9,54.51,0.046,0.02,0.084,0.15
19,1,7,17,8,14.85,0.022,0.006,0.054,0.082
19,2,7,7.5,8,22.76,0.028,0.018,0.077,0.123
19,3,7,7,12,32.7,0.042,0.044,0.114,0.2
19,4,7,8,11,22.07,0.035,0.027,0.1,0.162
20,1,9,9,12,51.71,0.062,0.05,0.143,0.255
20,2,8,16,10,33.81,0.042,0.032,0.096,0.17
20,3,9,10,15,41.67,0.057,0.046,0.119,0.222
20,4,10,9,11,22.03,0.028,0.015,0.087,0.13
21,1,8,18,17,46.79,0.045,0.041,0.0142,0.1002
21,2,9,19,18,48.93,0.078,0.045,0.176,0.299
21,3,11,14,23,18.59,0.091,0.08,0.314,0.485
21,4,9,9,14,32.27,0.072,0.027,0.141,0.24
22,1,9,10,11,55.46,0.059,0.054,0.195,0.308
22,2,6,9,7,27.9,0.041,0.015,0.092,0.148
22,3,10,11,7,8.55,0.018,0.006,0.043,0.067
22,4,7,4,6,4.2,0.009,0.004,0.02,0.033
23,1,9,18,8,122.77,0.145,0.14,0.425,0.71
23,2,9,16,9,58.33,0.068,0.046,0.195,0.309
