Geno,Rep,Control Group,,,,,,,,Low Phosphate,,,,,,,
,,LN,RL,SL,LA,SDW,RDW,LDW,TDW,LN,RL,SL,LA,SDW,RDW,LDW,TDW
1,1,5,19,10,42.63,0.02,0.031,0.126,0.177,6,21,6,59.48,0.024,0.028,0.075,0.127
1,2,7,21,9,45.34,0.062,0.111,0.303,0.476,5,21,6,81.96,0.037,0.043,0.224,0.304
1,3,6,14.5,10,45.48,0.03,0.031,0.0125,0.0735,6,21,4,35.58,0.04,0.03,0.073,0.143
1,4,7,16,8,70.81,0.032,0.085,0.184,0.301,5,19,2,60.91,0.042,0.084,0.2445,0.3705
2,1,6,17.5,11,35.58,0.028,0.027,0.102,0.157,4,12,3,27.05,0.03,0.041,0.099,0.17
2,2,5,15,10,49.6,0.047,0.056,0.154,0.257,4,16,6,25.84,0.029,0.016,0.071,0.116
2,3,6,15,8,46.69,0.021,0.034,0.109,0.164,6,17,8,41.3,0.032,0.027,0.086,0.145
2,4,5,12,7,54.55,0.025,0.035,0.128,0.188,5,14,7,49.16,0.036,0.028,0.105,0.169
3,1,4,15,8,26.4,0.014,0.012,0.062,0.088,5,17,3,38.17,0.035,0.029,0.107,0.171
3,2,6,14,11,43.96,0.024,0.061,0.122,0.207,5,22,4,32.35,0.032,0.022,0.04,0.094
3,3,6,13,9,112.63,0.045,0.074,0.152,0.271,5,22,4,45.3,0.033,0.06,0.125,0.218
3,4,9,13,10,44.06,0.058,0.05,0.1,0.208,5,25,5,40.38,0.029,0.05,0.106,0.185
4,1,10,15,9,78.92,0.037,0.063,0.105,0.205,4,12,3,40.1,0.028,0.036,0.113,0.177
4,2,6,14,6,40.04,0.018,0.019,0.088,0.125,6,24,5,102.75,0.116,0.113,0.362,0.591
4,3,5,9,7,30.12,0.013,0.01,0.056,0.079,5,15,3,41.06,0.032,0.06,0.125,0.217
4,4,6,18,7,71.92,0.028,0.071,0.189,0.288,5,19,4,55.61,0.054,0.033,0.057,0.144
5,1,6,17,9,47.45,0.031,0.05,0.109,0.19,7,22,4,28.53,0.039,0.037,0.118,0.194
5,2,6,13,8,60.32,0.061,0.06,0.187,0.308,2,9,5,0.52,0.031,0.005,0.038,0.074
5,3,4,7,18,25.38,0.014,0.055,0.018,0.087,5,21,4,22,0.031,0.021,0.089,0.141
5,4,5,12,6,34.92,0.011,0.039,0.122,0.172,6,18,3,28.05,0.026,0.036,0.067,0.129
6,1,5,14,6,80.88,0.04,0.041,0.143,0.224,5,21,8,51.63,0.03,0.051,0.112,0.193
6,2,7,14,8,111.76,0.06,0.08,0.261,0.401,7,22,9,82.63,0.105,0.057,0.213,0.375
6,3,5,13,7,51.16,0.028,0.05,0.028,0.106,6,23,10,35.82,0.07,0.049,0.131,0.25
6,4,3,14,10,37.5,0.026,0.014,0.077,0.117,5,18,7,130.32,0.051,0.016,0.078,0.145
7,1,8,18,13,143.05,0.061,0.072,0.32,0.453,7,24,7,58.3,0.067,0.055,0.176,0.298
7,2,6,17,13,105.35,0.047,0.046,0.204,0.297,4,21,4,51.08,0.031,0.027,0.088,0.146
7,3,7,15,14,89.33,0.078,0.065,0.201,0.344,5,15,5,45.31,0.021,0.025,0.133,0.179
7,4,7,12,11,61.83,0.033,0.036,0.109,0.178,5,17,5,61.35,0.062,0.048,0.124,0.234
8,1,6,20,13,64.34,0.039,0.03,0.137,0.206,5,24,5,60.52,0.48,0.052,0.163,0.695
8,2,5,13,7,82.48,0.028,0.059,0.161,0.248,6,22,6,65.85,0.126,0.109,0.16,0.395
8,3,7,23,10,70.8,0.0109,0.158,0.331,0.4999,6,16,7,109.63,0.061,0.032,0.285,0.378
8,4,7,13,15,80.83,0.6,0.066,0.163,0.829,5,11,5,78.66666667,0.031,0.017,0.082,0.13
9,1,5,18,7,48.81,0.032,0.012,0.112,0.156,5,19,4,21.16,0.017,0.009,0.05,0.076
9,2,5,14,10,30.42,0.016,0.013,0.064,0.093,7,7,7,26.3,0.026,0.018,0.07,0.114
9,3,4,15,9,52.09,0.018,0.033,0.079,0.13,5,12,5,52.16,0.019,0.018,0.046,0.083
9,4,4,12,9,24.15,0.011,0.018,0.051,0.08,9,18,10,60.61,0.07,0.063,0.111,0.244
10,1,6,19,8,81.35,0.098,0.052,0.144,0.294,6,6,6,60.61,0.061,0.048,0.0194,0.1284
10,2,6,19,14,11.09,0.099,0.063,0.214,0.376,5,14,7,52.6,0.03,0.05,0.138,0.218
10,3,5,21,17,102.2,0.055,0.056,0.221,0.332,5,23,10,85.68,0.13,0.051,0.232,0.413
10,4,4,18,11,54.35,0.024,0.035,0.116,0.175,6,21,8,75.5,0.052,0.07,0.219,0.341
11,1,5,16,13,114.98,0.071,0.097,0.259,0.427,5,14,4,28.61,0.018,0.021,0.087,0.126
