Rep,Geno,LN,RL,SL,LA,SDW,RDW,LDW,TDW
1,1,5.5,20.0,8.0,51.1,0.0,0.0,0.1,0.2
2,1,6.0,21.0,7.5,63.7,0.0,0.1,0.3,0.4
3,1,6.0,17.8,7.0,40.5,0.0,0.0,0.0,0.1
4,1,6.0,17.5,5.0,65.9,0.0,0.1,0.2,0.3
1,2,5.0,14.8,7.0,31.3,0.0,0.0,0.1,0.2
2,2,4.5,15.5,8.0,37.7,0.0,0.0,0.1,0.2
3,2,6.0,16.0,8.0,44.0,0.0,0.0,0.1,0.2
4,2,5.0,13.0,7.0,51.9,0.0,0.0,0.1,0.2
1,3,4.5,16.0,5.5,32.3,0.0,0.0,0.1,0.1
2,3,5.5,18.0,7.5,38.2,0.0,0.0,0.1,0.2
3,3,5.5,17.5,6.5,79.0,0.0,0.1,0.1,0.2
4,3,7.0,19.0,7.5,42.2,0.0,0.1,0.1,0.2
1,4,7.0,13.5,6.0,59.5,0.0,0.0,0.1,0.2
2,4,6.0,19.0,5.5,71.4,0.1,0.1,0.2,0.4
3,4,5.0,12.0,5.0,35.6,0.0,0.0,0.1,0.1
4,4,5.5,18.5,5.5,63.8,0.0,0.1,0.1,0.2
1,5,6.5,19.5,6.5,38.0,0.0,0.0,0.1,0.2
2,5,4.0,11.0,6.5,30.4,0.0,0.0,0.1,0.2
3,5,4.5,14.0,11.0,23.7,0.0,0.0,0.1,0.1
4,5,5.5,15.0,4.5,31.5,0.0,0.0,0.1,0.2
1,6,5.0,17.5,7.0,66.3,0.0,0.0,0.1,0.2
2,6,7.0,18.0,8.5,97.2,0.1,0.1,0.2,0.4
3,6,5.5,18.0,8.5,43.5,0.0,0.0,0.1,0.2
4,6,4.0,16.0,8.5,83.9,0.0,0.0,0.1,0.1
1,7,7.5,21.0,10.0,100.7,0.1,0.1,0.2,0.4
2,7,5.0,19.0,8.5,78.2,0.0,0.0,0.1,0.2
3,7,6.0,15.0,9.5,67.3,0.0,0.0,0.2,0.3
4,7,6.0,14.5,8.0,61.6,0.0,0.0,0.1,0.2
1,8,5.5,22.0,9.0,62.4,0.3,0.0,0.2,0.5
2,8,5.5,17.5,6.5,74.2,0.1,0.1,0.2,0.3
3,8,6.5,19.5,8.5,90.2,0.0,0.1,0.3,0.4
4,8,6.0,12.0,10.0,79.7,0.3,0.0,0.1,0.5
1,9,5.0,18.5,5.5,35.0,0.0,0.0,0.1,0.1
2,9,6.0,10.5,8.5,28.4,0.0,0.0,0.1,0.1
3,9,4.5,13.5,7.0,52.1,0.0,0.0,0.1,0.1
4,9,6.5,15.0,9.5,42.4,0.0,0.0,0.1,0.2
1,10,6.0,12.5,7.0,71.0,0.1,0.1,0.1,0.2
2,10,5.5,16.5,10.5,31.8,0.1,0.1,0.2,0.3
